CustomerID,InvoiceNo,InvoiceDate,Quantity,UnitPrice,TotalAmount
1561,57122,04-01-2023 15:00,8,52.69,421.52
1871,55842,04-01-2023 16:00,4,60.89,243.56
1387,51316,04-01-2023 17:00,5,37.62,188.1
1001,51124,04-01-2023 18:00,4,68.49,273.96
1389,55621,04-01-2023 19:00,9,26.68,240.12
1565,55423,04-01-2023 20:00,2,35.15,70.3
1105,52587,04-01-2023 21:00,8,96.46,771.68
1771,59215,04-01-2023 22:00,2,38.07,76.14
1821,55672,04-01-2023 23:00,1,37.92,37.92
1476,51378,05-01-2023 00:00,3,61.59,184.77
1702,53374,05-01-2023 01:00,9,97.24,875.16
1401,51519,05-01-2023 02:00,3,98.39,295.17
1729,55777,05-01-2023 03:00,9,60.07,540.63
1555,57935,05-01-2023 04:00,7,5.1,35.7
1161,56093,05-01-2023 05:00,1,90.56,90.56
1201,58418,05-01-2023 06:00,5,59.17,295.85
1957,55355,05-01-2023 07:00,9,39.77,357.93
1995,54968,05-01-2023 08:00,3,83.77,251.31
1269,59083,05-01-2023 09:00,9,42.98,386.82
1862,55574,05-01-2023 10:00,5,8.23,41.15
1815,54072,05-01-2023 11:00,9,83,747
1270,52257,05-01-2023 12:00,6,56.86,341.16
1455,58588,05-01-2023 13:00,9,37.12,334.08
1461,54424,05-01-2023 14:00,7,28.83,201.81
1726,53237,05-01-2023 15:00,7,61.41,429.87
1251,53893,05-01-2023 16:00,8,24.76,198.08
1701,52005,05-01-2023 17:00,7,35.77,250.39
1295,52016,05-01-2023 18:00,9,65.47,589.23
1724,59388,05-01-2023 19:00,9,88.75,798.75
1719,51772,05-01-2023 20:00,6,55.62,333.72
1748,58353,05-01-2023 21:00,7,77.12,539.84
1337,53976,05-01-2023 22:00,2,77.49,154.98
1878,51751,05-01-2023 23:00,9,68.11,612.99
1052,58967,06-01-2023 00:00,1,28.35,28.35
1791,57430,06-01-2023 01:00,1,87.34,87.34
1921,57170,06-01-2023 02:00,3,46.45,139.35
1216,56469,06-01-2023 03:00,6,9.2,55.2
1763,59131,06-01-2023 04:00,5,28.24,141.2
1187,53220,06-01-2023 05:00,2,77.73,155.46
1379,50539,06-01-2023 06:00,9,11.57,104.13
1492,51461,06-01-2023 07:00,4,19,76
1040,55184,06-01-2023 08:00,4,70.95,283.8
1156,58547,06-01-2023 09:00,5,89.8,449
1014,50234,06-01-2023 10:00,8,65.2,521.6
1812,51548,06-01-2023 11:00,4,26.12,104.48
1064,57480,06-01-2023 12:00,5,10.07,50.35
1856,54213,06-01-2023 13:00,4,63.44,253.76
1838,51673,06-01-2023 14:00,6,9.5,57
1520,56708,06-01-2023 15:00,3,63.21,189.63
1343,57982,06-01-2023 16:00,8,26.43,211.44
1128,52100,06-01-2023 17:00,6,90.94,545.64
1647,53748,06-01-2023 18:00,5,50.13,250.65
1471,53173,06-01-2023 19:00,2,26.27,52.54
1062,51815,06-01-2023 20:00,7,86.05,602.35
1138,53841,06-01-2023 21:00,2,29.13,58.26
1498,58016,06-01-2023 22:00,1,34.13,34.13
1592,57011,06-01-2023 23:00,7,84.26,589.82
1391,54493,07-01-2023 00:00,5,34.34,171.7
1674,50674,07-01-2023 01:00,1,43.97,43.97
1418,58088,07-01-2023 02:00,4,38.03,152.12
1288,58578,07-01-2023 03:00,4,16.06,64.24
1378,52158,07-01-2023 04:00,7,8.7,60.9
1772,52661,07-01-2023 05:00,9,73.83,664.47
1489,52064,07-01-2023 06:00,2,66.29,132.58
1230,53253,07-01-2023 07:00,1,31.82,31.82
1040,54979,07-01-2023 08:00,2,33.08,66.16
1027,57703,07-01-2023 09:00,7,94.78,663.46
1134,58931,07-01-2023 10:00,6,98.83,592.98
1200,51401,07-01-2023 11:00,4,49.98,199.92
1839,53259,07-01-2023 12:00,1,81.23,81.23
1779,53923,07-01-2023 13:00,1,74.99,74.99
1929,54214,07-01-2023 14:00,5,33.25,166.25
1032,53227,07-01-2023 15:00,1,10.56,10.56
1047,52745,07-01-2023 16:00,7,18.54,129.78
1502,56091,07-01-2023 17:00,1,84.64,84.64
1406,53866,07-01-2023 18:00,1,74.47,74.47
1573,55818,07-01-2023 19:00,2,68.11,136.22
1727,52222,07-01-2023 20:00,3,17.41,52.23
1804,52792,07-01-2023 21:00,1,65.79,65.79
1098,59889,07-01-2023 22:00,9,78.35,705.15
1683,54063,07-01-2023 23:00,8,86.76,694.08
1871,51524,08-01-2023 00:00,5,6.26,31.3
1725,58224,08-01-2023 01:00,2,70.03,140.06
1986,56198,08-01-2023 02:00,5,6.81,34.05
1546,54025,08-01-2023 03:00,6,72.15,432.9
1960,52566,08-01-2023 04:00,1,65.38,65.38
1738,52803,08-01-2023 05:00,4,19.09,76.36
1612,53709,08-01-2023 06:00,9,77.78,700.02
1942,56155,08-01-2023 07:00,2,11.49,22.98
1461,50719,08-01-2023 08:00,5,83.51,417.55
1642,56516,08-01-2023 09:00,1,29.88,29.88
1768,54579,08-01-2023 10:00,4,70.44,281.76
1004,50972,08-01-2023 11:00,4,92.75,371
1217,53718,08-01-2023 12:00,6,37.28,223.68
1502,57395,08-01-2023 13:00,9,52.77,474.93
1766,54402,08-01-2023 14:00,3,49,147
1397,54552,08-01-2023 15:00,9,19.97,179.73
1870,52207,08-01-2023 16:00,6,61.08,366.48
1794,54426,08-01-2023 17:00,7,75.59,529.13
1392,56919,08-01-2023 18:00,2,92.1,184.2
1206,58835,08-01-2023 19:00,6,85.83,514.98
1014,58386,08-01-2023 20:00,6,53.45,320.7
1857,58680,08-01-2023 21:00,2,73.31,146.62
1553,52204,08-01-2023 22:00,2,81.07,162.14
1891,55345,08-01-2023 23:00,2,51.88,103.76
1460,53276,09-01-2023 00:00,1,15.97,15.97
1690,51102,09-01-2023 01:00,5,46.6,233
1574,55243,09-01-2023 02:00,8,85.04,680.32
1863,56614,09-01-2023 03:00,2,61.68,123.36
1742,59433,09-01-2023 04:00,5,73.82,369.1
1240,58707,09-01-2023 05:00,8,22.6,180.8
1563,55223,09-01-2023 06:00,5,96.61,483.05
1095,58584,09-01-2023 07:00,2,43.39,86.78
1899,50630,09-01-2023 08:00,3,67.1,201.3
1733,59171,09-01-2023 09:00,6,6.79,40.74
1484,56683,09-01-2023 10:00,5,17.1,85.5
1406,50277,09-01-2023 11:00,4,79.29,317.16
1230,50232,09-01-2023 12:00,4,96.96,387.84
1748,59744,09-01-2023 13:00,5,35.41,177.05
1654,55690,09-01-2023 14:00,2,8.53,17.06
1170,57659,09-01-2023 15:00,9,39.28,353.52
1540,50025,09-01-2023 16:00,2,6.66,13.32
1035,57468,09-01-2023 17:00,2,23.28,46.56
1524,56410,09-01-2023 18:00,9,76.48,688.32
1159,58652,09-01-2023 19:00,3,94.02,282.06
1838,53764,09-01-2023 20:00,7,13.31,93.17
1698,56599,09-01-2023 21:00,4,58,232
1242,55102,09-01-2023 22:00,6,29.12,174.72
1085,57006,09-01-2023 23:00,4,18.21,72.84
1795,53483,10-01-2023 00:00,7,25.8,180.6
1577,51994,10-01-2023 01:00,1,59.89,59.89
1681,58682,10-01-2023 02:00,3,11.19,33.57
1556,51072,10-01-2023 03:00,3,46.25,138.75
1573,56707,10-01-2023 04:00,1,17.85,17.85
1952,50215,10-01-2023 05:00,6,30.9,185.4
1645,57605,10-01-2023 06:00,9,23.12,208.08
1795,59915,10-01-2023 07:00,8,88.88,711.04
1027,59784,10-01-2023 08:00,7,72.26,505.82
1619,52606,10-01-2023 09:00,8,87.5,700
1555,58350,10-01-2023 10:00,6,41.43,248.58
1339,54781,10-01-2023 11:00,9,34.77,312.93
1797,53313,10-01-2023 12:00,3,41.16,123.48
1957,59968,10-01-2023 13:00,9,6.76,60.84
1330,57763,10-01-2023 14:00,4,73.85,295.4
1639,55939,10-01-2023 15:00,7,38.23,267.61
1505,52295,10-01-2023 16:00,9,34.77,312.93
1347,55685,10-01-2023 17:00,2,61.82,123.64
1472,51696,10-01-2023 18:00,2,46.44,92.88
1230,51946,10-01-2023 19:00,9,98.18,883.62
1189,52783,10-01-2023 20:00,3,38.84,116.52
1224,53644,10-01-2023 21:00,9,63.32,569.88
1384,55241,10-01-2023 22:00,5,34.61,173.05
1376,56420,10-01-2023 23:00,6,99.11,594.66
1282,57557,11-01-2023 00:00,2,47.29,94.58
1957,52645,11-01-2023 01:00,8,65.24,521.92
1632,56589,11-01-2023 02:00,9,17.04,153.36
1627,56353,11-01-2023 03:00,2,74.64,149.28
1972,51932,11-01-2023 04:00,6,30.57,183.42
1744,51757,11-01-2023 05:00,6,47.62,285.72
1258,55085,11-01-2023 06:00,8,88.9,711.2
1358,55637,11-01-2023 07:00,5,97.2,486
1709,51116,11-01-2023 08:00,9,45.33,407.97
1455,50492,11-01-2023 09:00,1,84.31,84.31
1410,58811,11-01-2023 10:00,9,10.07,90.63
1648,57888,11-01-2023 11:00,7,85.52,598.64
1317,56474,11-01-2023 12:00,4,64.8,259.2
1676,59738,11-01-2023 13:00,3,51.43,154.29
1224,54958,11-01-2023 14:00,6,89.55,537.3
1818,59797,11-01-2023 15:00,1,85.31,85.31
1233,59467,11-01-2023 16:00,3,33.21,99.63
1683,52743,11-01-2023 17:00,2,80.19,160.38
1663,57866,11-01-2023 18:00,9,14.45,130.05
1974,57160,11-01-2023 19:00,3,83.16,249.48
1826,55451,11-01-2023 20:00,2,69.17,138.34
1373,55258,11-01-2023 21:00,4,13.35,53.4
1671,58548,11-01-2023 22:00,2,69.89,139.78
1607,57186,11-01-2023 23:00,1,60.15,60.15
1471,56102,12-01-2023 00:00,6,61.48,368.88
1232,59061,12-01-2023 01:00,8,32.63,261.04
1691,59077,12-01-2023 02:00,2,30.32,60.64
1112,59475,12-01-2023 03:00,9,77.44,696.96
1829,50619,12-01-2023 04:00,3,29.4,88.2
1496,50882,12-01-2023 05:00,8,47.39,379.12
1441,58988,12-01-2023 06:00,8,71,568
1563,53642,12-01-2023 07:00,3,12.56,37.68
1267,51296,12-01-2023 08:00,3,61.48,184.44
1509,58436,12-01-2023 09:00,6,60.99,365.94
1806,52895,12-01-2023 10:00,1,70,70
1385,56593,12-01-2023 11:00,4,40.14,160.56
1386,50929,12-01-2023 12:00,1,47.65,47.65
1112,55366,12-01-2023 13:00,3,36.35,109.05
1612,58711,12-01-2023 14:00,9,81.78,736.02
1624,53212,12-01-2023 15:00,5,17.41,87.05
1951,52409,12-01-2023 16:00,5,96.48,482.4
1080,58199,12-01-2023 17:00,4,65.31,261.24
1698,53423,12-01-2023 18:00,3,89.26,267.78
1112,56976,12-01-2023 19:00,5,45.49,227.45
1001,57594,12-01-2023 20:00,4,36.57,146.28
1641,55158,12-01-2023 21:00,8,90.57,724.56
1219,53667,12-01-2023 22:00,4,14.39,57.56
1565,55973,12-01-2023 23:00,8,16.13,129.04
1854,56236,13-01-2023 00:00,6,33.44,200.64
1996,58277,13-01-2023 01:00,5,96.18,480.9
1735,52468,13-01-2023 02:00,4,65.14,260.56
1224,56217,13-01-2023 03:00,4,57.65,230.6
1384,53619,13-01-2023 04:00,4,72.01,288.04
1402,51636,13-01-2023 05:00,9,44.66,401.94
1637,58155,13-01-2023 06:00,4,77.02,308.08
1129,53583,13-01-2023 07:00,9,42.36,381.24
1052,54009,13-01-2023 08:00,6,83.5,501
1683,53326,13-01-2023 09:00,7,30.39,212.73
1729,58148,13-01-2023 10:00,3,31.37,94.11
1671,52217,13-01-2023 11:00,8,54.63,437.04
1709,54967,13-01-2023 12:00,3,45.92,137.76
1415,52369,13-01-2023 13:00,1,66.57,66.57
1246,53638,13-01-2023 14:00,5,39.61,198.05
1835,59135,13-01-2023 15:00,2,26.9,53.8
1438,55722,13-01-2023 16:00,6,49.63,297.78
1202,54444,13-01-2023 17:00,9,58.29,524.61
1183,57618,13-01-2023 18:00,1,18.55,18.55
1122,53947,13-01-2023 19:00,4,57.89,231.56
1400,51676,13-01-2023 20:00,1,35.33,35.33
1766,51196,13-01-2023 21:00,1,42.28,42.28
1293,52787,13-01-2023 22:00,8,31.54,252.32
1279,57432,13-01-2023 23:00,2,93.48,186.96
1836,59653,14-01-2023 00:00,1,69.92,69.92
1883,57927,14-01-2023 01:00,8,29.93,239.44
1609,53318,14-01-2023 02:00,4,66.28,265.12
1197,58858,14-01-2023 03:00,3,85.61,256.83
1981,56689,14-01-2023 04:00,4,43.15,172.6
1906,52176,14-01-2023 05:00,5,83.85,419.25
1510,53743,14-01-2023 06:00,1,19.67,19.67
1751,58792,14-01-2023 07:00,1,83.16,83.16
1143,54422,14-01-2023 08:00,3,56.33,168.99
1608,53824,14-01-2023 09:00,6,26.18,157.08
1200,59171,14-01-2023 10:00,1,43.68,43.68
1123,52451,14-01-2023 11:00,2,98.86,197.72
1186,50628,14-01-2023 12:00,7,79.44,556.08
1325,59821,14-01-2023 13:00,1,59.63,59.63
1463,57778,14-01-2023 14:00,7,15.94,111.58
1348,53696,14-01-2023 15:00,4,44.69,178.76
1770,53674,14-01-2023 16:00,6,29.99,179.94
1659,53929,14-01-2023 17:00,8,11.75,94
1763,52765,14-01-2023 18:00,9,56.51,508.59
1954,54369,14-01-2023 19:00,6,89.47,536.82
1931,58307,14-01-2023 20:00,9,69.18,622.62
1402,54956,14-01-2023 21:00,4,28.72,114.88
1345,50692,14-01-2023 22:00,6,59.49,356.94
1962,53162,14-01-2023 23:00,8,94.61,756.88
1510,51105,15-01-2023 00:00,9,73.68,663.12
1146,53008,15-01-2023 01:00,3,70.5,211.5
1147,52161,15-01-2023 02:00,2,96.98,193.96
1863,58345,15-01-2023 03:00,6,80.89,485.34
1710,53699,15-01-2023 04:00,4,17.98,71.92
1819,53786,15-01-2023 05:00,1,38.03,38.03
1488,59256,15-01-2023 06:00,8,96.69,773.52
1928,54200,15-01-2023 07:00,9,51.52,463.68
1935,51913,15-01-2023 08:00,9,15.61,140.49
1639,59408,15-01-2023 09:00,2,48.57,97.14
1550,55520,15-01-2023 10:00,9,71.21,640.89
1337,51772,15-01-2023 11:00,7,99.77,698.39
1871,52780,15-01-2023 12:00,5,35.77,178.85
1640,57423,15-01-2023 13:00,7,53.84,376.88
1778,52871,15-01-2023 14:00,9,88.57,797.13
1987,50660,15-01-2023 15:00,8,38.75,310
1952,56242,15-01-2023 16:00,6,15.38,92.28
1472,51132,15-01-2023 17:00,4,95.15,380.6
1945,50699,15-01-2023 18:00,1,51.4,51.4
1150,57470,15-01-2023 19:00,6,52.76,316.56
1414,56297,15-01-2023 20:00,3,64.01,192.03
1989,57812,15-01-2023 21:00,6,5.34,32.04
1297,54557,15-01-2023 22:00,6,93.46,560.76
1610,52179,15-01-2023 23:00,4,39.34,157.36
1262,59065,16-01-2023 00:00,2,42.71,85.42
1763,58275,16-01-2023 01:00,9,21.54,193.86
1143,51422,16-01-2023 02:00,2,40.92,81.84
1345,53180,16-01-2023 03:00,3,81.37,244.11
1623,54316,16-01-2023 04:00,1,81,81
1571,56696,16-01-2023 05:00,7,93.9,657.3
1880,59583,16-01-2023 06:00,1,43.31,43.31
1001,50614,16-01-2023 07:00,9,72.33,650.97
1896,54570,16-01-2023 08:00,1,53.19,53.19
1303,50270,16-01-2023 09:00,5,81.38,406.9
1253,52468,16-01-2023 10:00,7,72.69,508.83
1651,59582,16-01-2023 11:00,3,39.95,119.85
1452,53607,16-01-2023 12:00,9,36.98,332.82
1036,53075,16-01-2023 13:00,8,28.98,231.84
1159,50289,16-01-2023 14:00,3,59.77,179.31
1008,58120,16-01-2023 15:00,5,96.57,482.85
1232,56614,16-01-2023 16:00,7,24.01,168.07
1098,53252,16-01-2023 17:00,4,14.05,56.2
1658,57415,16-01-2023 18:00,5,16.34,81.7
1815,56771,16-01-2023 19:00,3,79.39,238.17
1207,50278,16-01-2023 20:00,9,38.26,344.34
1130,50580,16-01-2023 21:00,9,26.31,236.79
1403,54958,16-01-2023 22:00,7,38.52,269.64
1151,58445,16-01-2023 23:00,2,66.31,132.62
1053,54276,17-01-2023 00:00,7,56.94,398.58
1119,57997,17-01-2023 01:00,7,75.64,529.48
1672,54776,17-01-2023 02:00,5,37.21,186.05
1919,50824,17-01-2023 03:00,9,47.94,431.46
1627,53832,17-01-2023 04:00,3,14.69,44.07
1586,58891,17-01-2023 05:00,4,11.94,47.76
1624,55445,17-01-2023 06:00,1,48.91,48.91
1967,51380,17-01-2023 07:00,6,33.65,201.9
1419,59865,17-01-2023 08:00,4,63.22,252.88
1421,56534,17-01-2023 09:00,1,9.09,9.09
1103,53156,17-01-2023 10:00,2,16.57,33.14
1851,54307,17-01-2023 11:00,3,87.19,261.57
1253,55634,17-01-2023 12:00,9,58.8,529.2
1226,58575,17-01-2023 13:00,8,72.65,581.2
1111,55810,17-01-2023 14:00,7,84.99,594.93
1509,58533,17-01-2023 15:00,4,49.06,196.24
1472,55934,17-01-2023 16:00,1,77.3,77.3
1098,53109,17-01-2023 17:00,8,54.84,438.72
1152,54082,17-01-2023 18:00,4,26.16,104.64
1860,53240,17-01-2023 19:00,3,37.08,111.24
1913,56028,17-01-2023 20:00,9,51.58,464.22
1895,51849,17-01-2023 21:00,4,35.1,140.4
1877,58497,17-01-2023 22:00,4,36.88,147.52
1337,52749,17-01-2023 23:00,9,37.05,333.45
1705,56680,18-01-2023 00:00,2,16.67,33.34
1821,59327,18-01-2023 01:00,5,13.04,65.2
1162,50205,18-01-2023 02:00,4,9.42,37.68
1719,57352,18-01-2023 03:00,9,15.54,139.86
1956,54591,18-01-2023 04:00,5,37.65,188.25
1680,53450,18-01-2023 05:00,9,61.42,552.78
1995,57214,18-01-2023 06:00,9,22.87,205.83
1160,53811,18-01-2023 07:00,2,89.36,178.72
1579,55141,18-01-2023 08:00,9,81.8,736.2
1800,58501,18-01-2023 09:00,3,54.45,163.35
1397,52708,18-01-2023 10:00,4,73.8,295.2
1276,51991,18-01-2023 11:00,1,39.8,39.8
1815,58463,18-01-2023 12:00,1,8.49,8.49
1915,53273,18-01-2023 13:00,1,90.91,90.91
1503,54538,18-01-2023 14:00,9,17.14,154.26
1895,58712,18-01-2023 15:00,8,95.05,760.4
1391,59168,18-01-2023 16:00,5,59.33,296.65
1134,53722,18-01-2023 17:00,5,34.03,170.15
1194,53551,18-01-2023 18:00,9,52.07,468.63
1400,52832,18-01-2023 19:00,3,52.65,157.95
1639,55679,18-01-2023 20:00,3,7.21,21.63
1032,56579,18-01-2023 21:00,7,38.77,271.39
1687,50152,18-01-2023 22:00,9,75.29,677.61
1459,55754,18-01-2023 23:00,6,53.46,320.76
1954,52800,19-01-2023 00:00,2,28.2,56.4
1882,55310,19-01-2023 01:00,1,36.84,36.84
1469,59944,19-01-2023 02:00,2,86.99,173.98
1374,52610,19-01-2023 03:00,1,54.93,54.93
1021,51104,19-01-2023 04:00,9,55.19,496.71
1749,57361,19-01-2023 05:00,8,96.34,770.72
1669,54199,19-01-2023 06:00,7,35.48,248.36
1037,53854,19-01-2023 07:00,3,50.56,151.68
1229,57263,19-01-2023 08:00,8,82.11,656.88
1364,51914,19-01-2023 09:00,2,77.1,154.2
1562,57365,19-01-2023 10:00,2,30.25,60.5
1437,53072,19-01-2023 11:00,3,19.35,58.05
1775,59198,19-01-2023 12:00,7,71.57,500.99
1282,50406,19-01-2023 13:00,1,29.48,29.48
1026,50166,19-01-2023 14:00,8,92.65,741.2
1225,50508,19-01-2023 15:00,7,17.28,120.96
1276,51661,19-01-2023 16:00,4,35.24,140.96
1797,53664,19-01-2023 17:00,5,10.2,51
1608,53489,19-01-2023 18:00,1,71.81,71.81
1283,50680,19-01-2023 19:00,4,89.67,358.68
1878,52524,19-01-2023 20:00,1,65.41,65.41
1959,52120,19-01-2023 21:00,1,94.09,94.09
1480,55260,19-01-2023 22:00,1,17.21,17.21
1452,54357,19-01-2023 23:00,7,13.33,93.31
1828,51363,20-01-2023 00:00,7,84.65,592.55
1815,59523,20-01-2023 01:00,4,86.27,345.08
1658,52292,20-01-2023 02:00,2,83.95,167.9
1515,51538,20-01-2023 03:00,3,80.9,242.7
1546,53408,20-01-2023 04:00,8,39.41,315.28
1191,57742,20-01-2023 05:00,8,25.66,205.28
1048,58752,20-01-2023 06:00,6,93.24,559.44
1511,59291,20-01-2023 07:00,9,34.17,307.53
1016,51903,20-01-2023 08:00,9,42.85,385.65
1171,50174,20-01-2023 09:00,4,71.46,285.84
1219,52230,20-01-2023 10:00,1,32.87,32.87
1157,54287,20-01-2023 11:00,1,82.82,82.82
1476,54160,20-01-2023 12:00,5,11.65,58.25
1045,57106,20-01-2023 13:00,2,80.16,160.32
1372,59689,20-01-2023 14:00,6,62.18,373.08
1517,53171,20-01-2023 15:00,7,59.43,416.01
1098,51567,20-01-2023 16:00,1,48.55,48.55
1891,51151,20-01-2023 17:00,6,31.32,187.92
1744,57619,20-01-2023 18:00,8,49.09,392.72
1036,56033,20-01-2023 19:00,5,47.75,238.75
1279,58560,20-01-2023 20:00,7,60.46,423.22
1348,54946,20-01-2023 21:00,6,31.75,190.5
1496,58234,20-01-2023 22:00,4,12.37,49.48
1301,51907,20-01-2023 23:00,7,18.78,131.46
1180,53490,21-01-2023 00:00,9,71.42,642.78
1606,52535,21-01-2023 01:00,7,7.14,49.98
1098,54173,21-01-2023 02:00,5,86.36,431.8
1699,51293,21-01-2023 03:00,7,70.97,496.79
1992,54769,21-01-2023 04:00,3,77.97,233.91
1115,54796,21-01-2023 05:00,2,84.42,168.84
1190,56871,21-01-2023 06:00,5,16.66,83.3
1252,52972,21-01-2023 07:00,4,83.13,332.52
1980,53922,21-01-2023 08:00,5,52.94,264.7
1927,54997,21-01-2023 09:00,8,89.12,712.96
1982,57032,21-01-2023 10:00,4,89.23,356.92
1160,50992,21-01-2023 11:00,9,7.3,65.7
1255,58112,21-01-2023 12:00,7,41.37,289.59
1322,55287,21-01-2023 13:00,7,55.01,385.07
1127,52240,21-01-2023 14:00,8,69.44,555.52
1017,51476,21-01-2023 15:00,6,32.19,193.14
1792,56426,21-01-2023 16:00,8,28.95,231.6
1734,50389,21-01-2023 17:00,3,41.22,123.66
1565,50999,21-01-2023 18:00,1,52.59,52.59
1569,51855,21-01-2023 19:00,6,95.36,572.16
1322,58125,21-01-2023 20:00,1,77.4,77.4
1871,58850,21-01-2023 21:00,9,45.79,412.11
1685,52763,21-01-2023 22:00,2,10.16,20.32
1791,53663,21-01-2023 23:00,2,21.01,42.02
1625,54986,22-01-2023 00:00,7,48.31,338.17
1287,51481,22-01-2023 01:00,2,82.31,164.62
1942,57256,22-01-2023 02:00,8,41.17,329.36
1853,53731,22-01-2023 03:00,6,56.16,336.96
1662,57262,22-01-2023 04:00,7,89.72,628.04
1961,50451,22-01-2023 05:00,7,91.81,642.67
1638,59729,22-01-2023 06:00,6,25.5,153
1154,53093,22-01-2023 07:00,9,9.14,82.26
1489,50882,22-01-2023 08:00,9,34.01,306.09
1385,54408,22-01-2023 09:00,7,71.1,497.7
1985,54068,22-01-2023 10:00,9,95.36,858.24
1784,53277,22-01-2023 11:00,3,12.32,36.96
1103,58566,22-01-2023 12:00,3,7.71,23.13
